eventID,datasetID,siteID,startYear,startMonth,startDay,endYear,endMonth,endDay,eventDate,startTime,endTime,eventTimeBlocks,eventDuration,eventDurationUnitID,studyDiurnalityID,reportedWeather,recordedBy,eventRemarks,eventMethodsID,verbatimEventMethods,eventMethodProtocolNames,eventMethodProtocolReferences,isAbundanceReported,isAbsenceReported,isSamplingEffortReported,samplingEffortUnitID,samplingEffortValue,targetTaxonomicScope,excludedTaxonomicScope,targetLifestageScopeID,excludedLifeStageScopeID,targetGrowthFormScope,excludedGrowthFormScope,targetSize,excludedSize
69,12,35,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
70,12,36,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
71,12,37,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
72,12,38,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
73,12,39,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
74,12,40,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
75,12,41,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
76,12,42,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
77,12,43,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
78,12,44,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
79,12,45,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
80,12,46,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
81,12,47,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
82,12,48,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
83,12,49,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
84,12,50,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
85,12,51,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
86,12,52,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
87,12,53,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
88,12,54,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
89,12,55,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
90,12,56,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
91,12,57,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
92,12,58,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
93,12,59,2013,4,13,2013,8,30,,,,,8,4,2,nice weather without rain and wind,,,15,point count method-33 points across the whole territory in a net 300 x 300 m,,"JANDA, J., ŘEPA, P. 1986: Metody kvantitativního výzkumu v ornitologii. SZN, Praha. | BIBBY, C.J., BURGESS, N.D., HILL, D.A., MUSTOE, S. (2007): Bird Census Techniques. Academic Press, London.",FALSE,FALSE,TRUE,5,160,Aves,,2,,,,,
