,previousIdentification,scientificName,observation
219,Loxia curvirostra,Loxia curvirostra,Ok (IOC World Bird List)
220,Lullula arborea,Lullula arborea,Ok (IOC World Bird List)
221,Lulula arborea,Lullula arborea,Updated according to IOC World Bird List
222,Luscinia luscinia,Luscinia luscinia,Ok (IOC World Bird List)
223,Luscinia megarhynchos,Luscinia megarhynchos,Ok (IOC World Bird List)
224,Luscinia svecica,Luscinia svecica,Ok (IOC World Bird List)
225,Luscinia svecica cyanecula,Luscinia svecica,Updated according to IOC World Bird List
226,Luscinia svecica svecica,Luscinia svecica,Updated according to IOC World Bird List
227,Lymnocryptes minimus,Lymnocryptes minimus,Ok (IOC World Bird List)
228,Lyrurus tetrix,Lyrurus tetrix,Ok (IOC World Bird List)
229,Mareca penelope,Mareca penelope,Ok (IOC World Bird List)
230,Mareca strepera,Mareca strepera,Ok (IOC World Bird List)
231,Melanitta fusca,Melanitta fusca,Ok (IOC World Bird List)
232,Melanitta nigra,Melanitta nigra,Ok (IOC World Bird List)
233,Mergellus albellus,Mergellus albellus,Ok (IOC World Bird List)
234,Mergus merganser,Mergus merganser,Ok (IOC World Bird List)
235,Mergus serrator,Mergus serrator,Ok (IOC World Bird List)
236,Merops apiaster,Merops apiaster,Ok (IOC World Bird List)
237,Miliaria calandra,Miliaria calandra,Ok (BirdLife International)
238,Milvus migrans,Milvus migrans,Ok (IOC World Bird List)
239,Milvus milvus,Milvus milvus,Ok (IOC World Bird List)
240,Motacilia cinerea,Motacilla cinerea,Updated according to IOC World Bird List
241,Motacilla alba,Motacilla alba,Ok (IOC World Bird List)
242,Motacilla cinerea,Motacilla cinerea,Ok (IOC World Bird List)
243,Motacilla citreola,Motacilla citreola,Ok (IOC World Bird List)
244,Motacilla flava,Motacilla flava,Ok (IOC World Bird List)
245,Motacilla sp.,NA,NOT FOUND in IOC World Bird List or BirdLife International
246,Motecilla alba,Motacilla alba,Updated according to IOC World Bird List
247,Muscicapa hypoleuca,NA,NOT FOUND in IOC World Bird List or BirdLife International
248,Muscicapa striata,Muscicapa striata,Ok (IOC World Bird List)
249,Netta rufina,Netta rufina,Ok (IOC World Bird List)
250,Nucifraga caryocatactes,Nucifraga caryocatactes,Ok (IOC World Bird List)
251,Numenius arquata,Numenius arquata,Ok (IOC World Bird List)
252,Numenius phaeopus,Numenius phaeopus,Ok (IOC World Bird List)
253,Nycticorax nycticorax,Nycticorax nycticorax,Ok (IOC World Bird List)
254,Oenanthe oenanthe,Oenanthe oenanthe,Ok (IOC World Bird List)
255,Oriolus oriolus,Oriolus oriolus,Ok (IOC World Bird List)
256,Pandion haliaetus,Pandion haliaetus,Ok (IOC World Bird List)
257,Panurus biarmicus,Panurus biarmicus,Ok (IOC World Bird List)
258,Parus ater,Parus ater,Ok (BirdLife International)
259,Parus caeruelus,Parus caeruleus,Updated according to BirdLife International
260,Parus caeruleus,Parus caeruleus,Ok (BirdLife International)
261,Parus coeruleus,Parus caeruleus,Updated according to BirdLife International
262,Parus cristatus,Parus cristatus,Ok (BirdLife International)
263,Parus major,Parus major,Ok (IOC World Bird List)
264,Parus montanus,Parus montanus,Ok (BirdLife International)
265,Parus palustris,Parus palustris,Ok (BirdLife International)
266,Passer domesticus,Passer domesticus,Ok (IOC World Bird List)
267,Passer montanus,Passer montanus,Ok (IOC World Bird List)
268,Perdix perdix,Perdix perdix,Ok (IOC World Bird List)
269,Periparus ater,Periparus ater,Ok (IOC World Bird List)
270,Pernis apivorus,Pernis apivorus,Ok (IOC World Bird List)
