"","previousIdentification","scientificName","observation"
"47","Asio flammeus","Asio flammeus","Ok birdL"
"48","Asio otus","Asio otus","Ok birdL"
"49","Athene noctua","Athene noctua","Ok birdL"
"50","Aythia ferina","Aythia ferina","Ok birdL"
"51","Aythya ferina","Aythya ferina","Ok birdL"
"52","Aythya fuligula","Aythya fuligula","Ok birdL"
"53","Aythya marila ","Aythya marila ","Ok birdL"
"54","Aythya nyroca","Aythya nyroca","Ok birdL"
"55","Bombycilla garrulus","Bombycilla garrulus","Ok birdL"
"56","Bonasa bonasia ","Bonasa bonasia ","Ok birdL"
"57","Botaurus stellaris","Botaurus stellaris","Ok birdL"
"58","Branta bernicla","Branta bernicla","Ok birdL"
"59","Branta canadensis","Branta canadensis","Ok birdL"
"60","Branta leucopsis","Branta leucopsis","Ok birdL"
"61","Branta ruficollis","Branta ruficollis","Ok birdL"
"62","Bubo bubo","Bubo bubo","Ok birdL"
"63","Bubulcus ibis","Bubulcus ibis","Ok birdL"
"64","Bucephala clangula ","Bucephala clangula ","Ok birdL"
"65","Buteo buteo","Buteo buteo","Ok birdL"
"66","Buteo lagopus","Buteo lagopus","Ok birdL"
"67","Calidris alba","Calidris alba","Ok birdL"
"68","Calidris alpina","Calidris alpina","Ok birdL"
"69","Calidris canutus","Calidris canutus","Ok birdL"
"70","Calidris falcinellus","Calidris falcinellus","Ok birdL"
"71","Calidris ferruginea","Calidris ferruginea","Ok birdL"
"72","Calidris minuta","Calidris minuta","Ok birdL"
"73","Calidris pugnax","Calidris pugnax","Ok birdL"
"74","Calidris temminckii","Calidris temminckii","Ok birdL"
"75","Caprimulgus europaeus ","Caprimulgus europaeus ","Ok birdL"
"76","Cardueis cannabina","Cardueis cannabina","Ok birdL"
"77","Carduelis canabina","Carduelis canabina","Ok birdL"
"78","Carduelis cannabina","Carduelis cannabina","Ok birdL"
"79","Carduelis carduelis","Carduelis carduelis","Ok birdL"
"80","Carduelis flammea","Carduelis flammea","Ok birdL"
"81","Carduelis chloris","Carduelis chloris","Ok birdL"
"82","Carduelis spinus","Carduelis spinus","Ok birdL"
"83","Carpodacus erythrinus","Carpodacus erythrinus","Ok birdL"
"84","Certhia brachydactyla","Certhia brachydactyla","Ok birdL"
